,fecha,Sucursal,precio,cantidad,cliente,Vehiculo
43,6/29/2021,Pixope,$3.4B,100,Rooney,Nissan
44,7/28/2021,Zoombox,,47,Fields,Citroën
45,8/29/2021,Jabberstorm,$99.14M,85,Wernher,Porsche
46,10/30/2021,Skidoo,$11.18B,65,Roderigo,Chevrolet
47,7/7/2021,Thoughtstorm,$6.5B,25,Filbert,Chevrolet
48,11/23/2021,Zoonoodle,,12,Guthrey,Nissan
49,2/1/2022,Flipstorm,$2.43B,36,Ross,Ford
50,4/9/2022,Rooxo,$27.89B,79,Giuseppe,Hyundai
51,4/29/2022,Topicblab,$30.69M,84,Glyn,Buick
52,1/6/2022,Kimia,,4,Felice,BMW
53,2/14/2022,Browsetype,$306.18B,16,Niven,Jaguar
54,7/3/2021,Kwilith,,81,Bennett,Pontiac
55,2/16/2022,Dynabox,$14.05M,80,Johnnie,Toyota
56,7/31/2021,Muxo,$446M,100,Cornelius,Pontiac
57,12/27/2021,Tagcat,$6.28B,88,Noll,Lotus
58,9/10/2021,Skipstorm,$2.55B,39,Gerome,Subaru
59,7/5/2021,Fadeo,,51,Jean,Honda
60,10/20/2021,Edgeblab,$350.57M,32,Shelby,Dodge
61,6/17/2022,Skyndu,$1.14B,14,Dennet,Chevrolet
62,4/2/2022,Zoozzy,$2.64B,90,Isidor,Toyota
63,8/13/2021,InnoZ,$897.42M,2,Lemmie,Nissan
64,8/9/2021,Realmix,$1.47B,57,Saunder,Hyundai
65,7/22/2021,Divape,$73.91M,44,Marlowe,Bentley
66,11/22/2021,Ntags,$6.2B,84,Hurley,GMC
67,11/16/2021,Fiveclub,$2.08B,7,Pavlov,Buick
68,12/5/2021,Vimbo,$27.17B,67,Weidar,Scion
69,5/19/2022,Browseblab,$4.17B,73,Zachery,Volkswagen
70,11/30/2021,Myworks,$405.38M,77,Burnard,Mitsubishi
71,4/8/2022,Jetwire,$1.4B,39,Rickert,Lexus
72,5/28/2022,Edgeify,$95.35M,41,Lionel,Chevrolet
73,8/7/2021,Riffpedia,$130.19M,92,Chico,Pontiac
74,8/13/2021,Voonix,$320.19M,27,Kylie,Volkswagen
75,3/14/2022,InnoZ,,56,Cad,Toyota
76,3/7/2022,Eare,$2.09B,56,Mateo,Volkswagen
77,8/2/2021,Plambee,$12M,42,Bartholomew,GMC
78,3/21/2022,Centimia,,93,Rip,Nissan
79,9/29/2021,Thoughtblab,$90.88M,32,Mattie,Oldsmobile
80,3/19/2022,Miboo,$8.45B,84,Ave,Volkswagen
81,9/6/2021,Oloo,$4.39B,14,Ashbey,Honda
82,4/9/2022,Roombo,$930.51M,92,Christophe,Pontiac
83,7/24/2021,Yodo,$10.8B,27,Shurlock,Nissan
84,2/4/2022,DabZ,$2.27B,30,Nels,Ford
85,10/8/2021,Youbridge,$54.41B,14,Gregg,Dodge
86,10/14/2021,Brainlounge,$1.27B,22,Josiah,Pontiac
87,3/10/2022,Fivechat,$298.66M,11,Leonardo,Hyundai
88,10/20/2021,Jaxnation,$85M,50,Trefor,Plymouth
89,6/1/2022,Voolia,,27,Jens,Saab
90,7/24/2021,Myworks,$21.03M,26,Reynard,GMC
91,11/12/2021,Jabberstorm,,59,Mohandas,Volkswagen
92,6/1/2022,Realpoint,$865.57M,59,Eb,Mazda
93,1/12/2022,Babbleblab,$154.55M,43,Darb,Pontiac
94,9/22/2021,Yodo,$1.46B,54,Gare,Volkswagen
95,2/12/2022,Trilith,,75,Fidel,Maserati
96,4/12/2022,Riffpedia,$675.67M,14,Royce,Jaguar
97,8/4/2021,Innotype,$749.94M,3,Stinky,Mazda
98,4/16/2022,Bubblebox,$94.73M,87,Huntington,Maserati
99,8/2/2021,Layo,$195.63M,14,Vincents,Infiniti
100,6/16/2022,Photobug,$1.71B,3,Edsel,Toyota
101,4/4/2022,Fatz,$7.77B,16,Alexei,Land Rover
102,5/14/2022,Yombu,$5.31B,72,Gayelord,Lexus
103,7/25/2021,Youspan,$1.81B,75,Ham,Mercedes-Benz
104,8/11/2021,Myworks,,56,Haven,Dodge
105,6/4/2022,Skipfire,$44.38M,14,Brant,Pontiac
106,4/27/2022,Edgepulse,$11.06B,81,Kelsey,Toyota
107,12/31/2021,Aimbo,,13,Griffy,BMW
108,1/31/2022,Yotz,$5.91M,88,Abel,Toyota
109,10/16/2021,Blogtag,$157.67M,33,Brigg,Toyota
110,3/28/2022,Thoughtbridge,$296.86M,86,Tate,Mercury
111,3/18/2022,Topicware,$3.96B,42,Edvard,Volvo
112,3/19/2022,Livefish,,62,Cletis,GMC
113,10/23/2021,Yozio,$612.59M,17,Scotti,Hyundai
114,6/16/2022,Kimia,$120.57B,53,Ilaire,Volkswagen
115,9/11/2021,Twimm,,87,Eduardo,Subaru
116,12/1/2021,Dynava,$27.34M,78,Cale,Ford
117,4/24/2022,Mybuzz,$32.92M,89,Berky,Porsche
118,1/23/2022,Jamia,$73.95M,68,Munmro,Dodge
119,12/9/2021,Jazzy,$143.18M,66,Edvard,Pontiac
120,10/14/2021,Centimia,$1.42B,18,Rochester,Jaguar
121,9/26/2021,Yata,$14.12B,88,Shellysheldon,Chevrolet
122,2/7/2022,Photobug,$349.39M,19,Wolf,Isuzu
123,6/28/2021,Feedspan,$29.38B,10,Ralph,GMC
124,12/23/2021,Wikizz,$14.4B,56,Gawen,Mercedes-Benz
125,8/27/2021,Ailane,$13.56M,70,Cobb,BMW
126,12/11/2021,Dabjam,$394.2M,54,Karoly,Volvo
127,2/10/2022,Browseblab,$60M,28,Conney,Ford
128,9/23/2021,Myworks,,89,Beaufort,Ford
129,11/24/2021,Topicblab,$54.07M,36,Zebulon,Volkswagen
130,7/14/2021,Gabvine,$17.3B,72,Rhys,Audi
131,1/26/2022,Oyonder,$645.41M,19,Neron,Mazda
132,9/19/2021,Avavee,$707.25M,86,Andrej,Cadillac
133,5/24/2022,Feedfire,$130.34M,52,Kasper,Volkswagen
134,10/3/2021,Chatterbridge,$238.94M,70,Arne,Isuzu
135,8/11/2021,Devpulse,$796.49M,68,Casar,Buick
136,1/17/2022,Jabberstorm,$315.63M,95,Tobin,GMC
137,2/10/2022,Wikido,$2.41B,33,Angus,BMW
138,10/4/2021,Browsecat,$2.6B,48,Torrey,Chevrolet
139,7/26/2021,Quaxo,$155.85M,47,Martainn,Kia
140,7/15/2021,Dynava,$448.07M,21,Zollie,Hyundai
141,12/25/2021,Tekfly,$1.97B,17,Jacobo,Isuzu
142,1/22/2022,Geba,$115.54M,70,Giselbert,Lincoln
143,2/5/2022,Blogpad,$496.43M,89,Titos,Lincoln
144,4/25/2022,Trilia,$1.47B,18,Georgy,Lexus
145,6/19/2022,Thoughtbeat,$357.95M,46,Pip,Ford
146,5/21/2022,Realmix,$9.79B,11,Alonzo,Cadillac
147,1/6/2022,Avavee,$741.39M,23,Eliot,GMC
148,6/19/2022,Omba,$39.32M,66,Jean,Ford
149,5/9/2022,Quatz,$361.92B,34,Urson,Ram
150,10/14/2021,Twinte,$41.27B,18,Jaime,BMW
151,11/14/2021,Jaloo,,87,Jeffy,Lincoln
152,10/9/2021,Dazzlesphere,$551.95M,36,Alonso,Mazda
153,10/16/2021,Jayo,$567.1M,95,Benedetto,Oldsmobile
154,2/17/2022,Snaptags,$59.59M,56,Teddy,Toyota
155,11/14/2021,Tagopia,$362.28M,16,Quincy,Mercedes-Benz
156,7/21/2021,Mydeo,$23.91B,90,Micheil,Chevrolet
157,1/28/2022,Buzzdog,$647.69M,57,Vinnie,Lexus
158,5/15/2022,InnoZ,,51,Rodge,Land Rover
159,8/4/2021,Einti,$14.33M,17,Darwin,Buick
160,1/19/2022,Cogibox,,92,Jarrett,Pontiac
161,4/28/2022,Meejo,$21.4M,96,Riley,Bentley
162,6/16/2022,Feedfire,$33.04M,94,Jodie,Honda
163,8/22/2021,Gigabox,$395.82M,56,Riobard,Mitsubishi
164,10/25/2021,Yakitri,$136.26M,43,Kilian,Mazda
165,4/13/2022,Feedmix,$4.84B,19,Udall,Cadillac
166,1/4/2022,Twimbo,$12.16M,9,Rex,Dodge
167,8/21/2021,Voonte,,27,Kenyon,Ford
168,11/5/2021,Topicblab,$135.82M,84,Florian,Suzuki
169,9/8/2021,Reallinks,$34.59M,48,Timmy,Ford
170,8/16/2021,Realpoint,,52,Leland,Buick
171,11/23/2021,Kare,$2.59B,83,Murry,Toyota
172,7/6/2021,Thoughtsphere,$9.12B,12,Antone,BMW
173,1/2/2022,Gabtune,$751.86M,75,Rupert,GMC
174,7/5/2021,Flipstorm,$40.45M,94,Malvin,Ford
175,2/23/2022,Thoughtmix,$2.49B,62,Leon,Hillman
176,7/30/2021,Voonix,$303.87M,47,Laughton,Volvo
177,11/10/2021,Zoomlounge,$842.05M,10,Matias,Honda
178,8/10/2021,Browsezoom,$66.96M,97,Burt,Ford
179,7/13/2021,Yozio,,66,Arnaldo,Mitsubishi
180,5/5/2022,Thoughtsphere,$1.84B,83,Timoteo,Lincoln
181,2/20/2022,Wikibox,,62,Andy,GMC
182,11/11/2021,Trudoo,$24.88B,26,Bary,Ford
183,1/21/2022,Aimbo,$8.4M,64,Hardy,Ford
184,7/2/2021,Browsedrive,$14.89M,70,Emmanuel,Ford
185,6/15/2022,Yozio,,80,Kristo,Honda
186,10/25/2021,Aivee,$83.39M,99,Travis,Mitsubishi
187,3/3/2022,Jaxspan,$737.25M,1,Brade,Pontiac
188,11/25/2021,Meembee,$64.48M,40,Rawley,Ford
189,6/2/2022,Snaptags,$14.45B,8,Gage,Mitsubishi
190,6/1/2022,Muxo,$534.86M,59,Fairleigh,Mazda
191,7/9/2021,Twinte,$562.64M,21,Ulick,Oldsmobile
192,9/25/2021,Eare,$1.26B,47,Ferdinand,GMC
193,9/9/2021,Cogilith,$4.57B,5,Beaufort,Lexus
194,1/26/2022,Vimbo,$123.47M,55,Torrance,Chevrolet
195,2/10/2022,Demizz,$1.81B,48,Von,Chevrolet
196,3/2/2022,Twinte,$2.6B,100,Lombard,Acura
197,9/22/2021,Eayo,$180.82M,69,Cosimo,Toyota
198,1/7/2022,Kimia,$33.7B,2,Bertie,Volkswagen
199,8/12/2021,Realmix,$172.9M,30,Samuele,Merkur
200,4/28/2022,Topicware,$18.6M,64,Montgomery,BMW
201,2/23/2022,Eamia,$14.07M,33,Farris,Oldsmobile
202,12/10/2021,Trunyx,$28.08M,44,Tucker,Dodge
203,10/28/2021,Flipopia,,12,Jim,Volkswagen
204,3/21/2022,Kwinu,,42,Parke,Mazda
205,2/8/2022,Realpoint,$3.68B,51,Isidro,Audi
206,10/31/2021,Yata,$339.02M,4,Keary,Dodge
207,5/12/2022,Kazio,$2.59B,45,Lalo,Ford
208,12/23/2021,Twitterlist,$262.86M,31,Ross,Kia
209,8/12/2021,Devpoint,,18,Launce,Buick
210,12/7/2021,Kaymbo,$675.15M,69,Mickie,Dodge
211,4/17/2022,Realmix,$1.31B,21,Keefe,Volkswagen
212,11/15/2021,Yozio,$71.88M,39,Geoffrey,Toyota
213,6/12/2022,Wikizz,$677.94M,40,Decca,Mazda
214,2/20/2022,Yotz,$677.94M,84,Algernon,Chevrolet
215,11/8/2021,Lazz,$5.1B,99,Hilliard,Toyota
216,5/11/2022,Jaxworks,$13.26B,57,Vite,Bentley
217,11/11/2021,Camimbo,$68.41B,86,Shane,Mercedes-Benz
218,2/7/2022,Fadeo,,52,Pauly,Toyota
219,9/9/2021,Skajo,,1,Sheffield,Nissan
220,4/5/2022,Photofeed,$28.55M,68,Armando,Scion
221,1/22/2022,Twiyo,$2.83B,79,Brendon,BMW
222,8/5/2021,Fanoodle,$306.18B,19,Ara,Jeep
223,3/18/2022,Tagopia,$33.04M,95,Ax,Suzuki
224,5/3/2022,Bubblebox,,6,Kirk,Pontiac
225,6/18/2022,Avavee,$152.04M,78,Bar,Chevrolet
226,2/1/2022,Zoomzone,$276.7M,32,Kirk,Lexus
227,4/28/2022,Avavee,$6.59B,62,Chester,Mercury
228,9/28/2021,Shuffledrive,,7,Lester,GMC
229,8/28/2021,Mudo,$28.04M,82,Hercule,Toyota
230,9/24/2021,Flashset,$4.37B,94,Adair,GMC
231,6/18/2022,Quatz,,4,Svend,Chevrolet
232,11/25/2021,Flashpoint,,58,Siward,Dodge
233,4/25/2022,Brainsphere,$1.17B,16,Welsh,Kia
234,8/12/2021,Kimia,$77.63M,4,Reginauld,Buick
235,4/15/2022,Aimbu,$1.93B,25,Alley,Maserati
236,6/13/2022,Npath,$5.8B,30,Hillary,Ford
237,5/23/2022,Lazzy,,32,Nicolai,Chevrolet
238,1/23/2022,Buzzster,,85,Justis,Lamborghini
239,1/5/2022,Skynoodle,$745.32M,95,Simeon,Pontiac
240,10/18/2021,BlogXS,$4.4B,23,Lammond,Ford
241,1/18/2022,Oyoyo,$17.98B,18,Arthur,Mitsubishi
242,9/10/2021,Photobean,$253.22M,82,Angelo,Hyundai
243,3/13/2022,Tagchat,$14.07M,14,Carney,Saab
244,10/17/2021,Zoozzy,,90,Allard,Buick
245,4/16/2022,Pixonyx,$1.48B,94,Harwilll,Infiniti
246,4/5/2022,Plajo,$8.39B,45,Rufe,Pontiac
247,1/25/2022,Innotype,$158.53M,49,Wyndham,Jaguar
248,12/13/2021,Zava,$73.14M,47,Harper,Volkswagen
249,8/8/2021,Brightbean,$36.8M,79,Aldridge,Volvo
250,2/12/2022,Dabtype,$26.47B,46,Agustin,Chevrolet
251,3/3/2022,Yata,$1.8B,46,Chick,Ford
252,1/17/2022,Photolist,$17.7B,95,Harbert,Lotus
253,12/10/2021,Jabbersphere,$1.6B,75,Franklin,Dodge
254,11/22/2021,Voolia,$703.44M,97,Haywood,Dodge
255,12/11/2021,Flipstorm,$60.75M,61,Kliment,Land Rover
256,10/23/2021,Youbridge,$69.92M,94,Archibold,Geo
257,7/18/2021,Linklinks,$146.29M,8,Daren,BMW
258,10/21/2021,Dabtype,$524.24M,23,Bordy,Suzuki
259,9/7/2021,Aimbu,$316.71M,43,Benton,Nissan
260,12/3/2021,Vitz,$296.92M,79,Aldus,Volkswagen
261,5/13/2022,Fanoodle,$1.67B,27,Derk,Audi
262,4/5/2022,Jaxnation,,39,Kenneth,Saab
263,4/2/2022,Thoughtbridge,$10.83B,69,Waldo,Porsche
264,2/6/2022,Lajo,$36.89M,71,Rustin,Chevrolet
265,7/14/2021,Gigashots,$54.9M,67,Trip,Pontiac
266,2/25/2022,Flashpoint,$244.93M,77,Alastair,Chevrolet
267,10/3/2021,Teklist,,28,Nathaniel,Chrysler
268,6/1/2022,Yabox,$25.18B,77,Sterling,Mercedes-Benz
269,4/27/2022,Devshare,$380.14M,34,Eldon,GMC
270,10/9/2021,Eidel,$2.35B,27,Judd,Lincoln
271,7/30/2021,Teklist,$14.36M,56,Barris,BMW
272,12/7/2021,Meetz,$12.31M,56,Javier,Isuzu
273,12/18/2021,Dabfeed,$10.72B,15,Reinaldos,Honda
274,2/16/2022,Skipfire,$454.72M,100,Berton,Ford
275,4/10/2022,Rhyloo,$1.01B,13,Giuseppe,Volvo
276,5/4/2022,Ntags,$1.38B,56,Faulkner,Maserati
277,8/27/2021,Skidoo,$390.56M,38,Edsel,Toyota
278,12/19/2021,Yakidoo,$555.08M,44,Tucky,Ford
279,2/9/2022,Browsebug,$187.49M,39,Harbert,Lamborghini
280,3/20/2022,Livetube,$223.07M,25,Farlay,Kia
281,3/18/2022,Camido,$196.76B,15,Kahaleel,Chrysler
282,4/26/2022,Kwinu,$350.52M,33,Maxy,Ford
283,6/28/2021,Yadel,$2.28B,100,Cletis,GMC
284,7/28/2021,Flashpoint,$69.91M,99,Olav,Chevrolet
285,5/6/2022,Skinder,,25,Bran,Toyota
286,8/7/2021,Jabbersphere,$3.96B,21,Richie,Chevrolet
287,12/31/2021,Mynte,,11,Clemmy,Chrysler
288,10/14/2021,Pixope,$157.5M,1,Zach,Bentley
289,3/6/2022,Yodel,$807.59M,32,Ripley,Kia
290,10/21/2021,Flipopia,$2.63B,46,Derk,Pontiac
291,7/26/2021,Ntag,$4.24B,91,Malcolm,Lincoln
292,11/29/2021,Mudo,$58.47M,97,Vincent,BMW
293,4/23/2022,Shuffledrive,$3.34B,37,Britt,Chevrolet
294,6/7/2022,Janyx,$1.82B,63,Georgi,Chevrolet
295,8/11/2021,Teklist,$25.59B,26,Westley,Chevrolet
296,7/20/2021,Quinu,$402.04M,24,Lammond,Suzuki
297,8/20/2021,Myworks,$414.73M,27,Brendan,Mazda
298,11/17/2021,Eire,$3.82B,36,Etan,Hyundai
299,2/10/2022,Realbuzz,$1.49B,71,Sheffield,BMW
300,6/2/2022,Dablist,$1B,80,Balduin,Porsche
301,3/8/2022,Livetube,$2.17B,84,Craggie,Kia
302,5/5/2022,Gigaclub,$19.65M,69,Rafferty,Suzuki
303,9/16/2021,Browsetype,$5B,52,Broddie,Audi
304,6/15/2022,Zoomlounge,$23.38B,58,Thorvald,Volkswagen
305,2/12/2022,Eidel,,37,Knox,Hyundai
306,7/25/2021,Mudo,,76,Tommie,Ferrari
307,9/17/2021,Brightdog,$19.68B,70,Philip,Oldsmobile
308,12/5/2021,Riffpath,$7.87B,59,Cordy,Chevrolet
309,4/28/2022,Abata,$152.41M,30,Demott,BMW
310,9/11/2021,Edgeify,,40,William,Chrysler
311,8/27/2021,Avaveo,$64.02M,67,Elwood,Ford
312,7/26/2021,Eazzy,$454M,84,Hirsch,Buick
313,9/22/2021,Photojam,,100,Nicola,Hyundai
314,4/23/2022,Linktype,$715.78M,92,Alric,Chrysler
315,10/21/2021,Dabfeed,$542.39M,80,Pall,Saturn
316,11/5/2021,Browsedrive,,45,Vladamir,Buick
317,4/21/2022,Blogpad,,16,Arni,Lexus
318,2/22/2022,Gigabox,$6.77B,40,Kippar,Porsche
319,6/20/2022,Quire,$636.41M,100,Pancho,Mercedes-Benz
320,4/12/2022,Tagpad,$4.72B,9,Boris,GMC
321,4/4/2022,Dynabox,$2.11B,28,Hayden,Acura
322,5/6/2022,Centizu,$380.1M,93,Orlando,Honda
323,1/12/2022,Tagopia,$44.68B,69,Brigg,Kia
324,9/23/2021,Kwilith,$8.53B,33,Quill,Mazda
325,3/13/2022,Oyonder,$200.59M,32,Ahmed,Chevrolet
326,3/31/2022,Blogtags,$32.02B,5,Brodie,Volkswagen
327,4/20/2022,Linkbridge,,27,Olivero,Mazda
328,9/9/2021,Camimbo,$404.02M,72,Ulric,Cadillac
329,2/7/2022,Thoughtblab,$975.44M,76,Christie,Ford
330,9/29/2021,Twimm,$79.68M,51,Norman,Mazda
331,10/31/2021,Aimbo,$745.32M,1,Errick,Dodge
332,1/23/2022,Yakidoo,$39.27B,98,Odie,Dodge
333,11/5/2021,Dabjam,,42,Kristian,GMC
334,2/8/2022,Leexo,$2.05B,17,Sid,Chevrolet
335,7/2/2021,Gigaclub,$79.27M,85,Mar,Jeep
336,11/16/2021,Tekfly,,13,Umberto,Suzuki
337,6/14/2022,Gigaclub,$7.6B,46,Gerick,GMC
338,8/30/2021,Jayo,,82,Buck,Audi
339,8/29/2021,Quatz,$367.06M,50,Vinnie,Mercedes-Benz
340,5/1/2022,Meetz,$383.96M,12,Gunter,Mercedes-Benz
341,2/16/2022,Oyonder,$334.83M,80,Richmond,Ford
342,6/13/2022,Thoughtblab,$187.53M,39,Ulric,Hyundai
343,2/17/2022,Kwideo,,100,Frederick,Toyota
344,12/31/2021,Twinder,$79.32M,94,Gasparo,Mazda
345,8/11/2021,Wikivu,,49,Wang,Toyota
346,11/14/2021,Jayo,$41.59M,99,Burnard,GMC
347,5/15/2022,Shufflester,$60.98M,48,Torin,Lexus
348,6/28/2021,Eidel,$1.2B,89,Mike,Eagle
349,9/22/2021,Shufflester,$38B,32,Mata,Kia
350,8/19/2021,Thoughtmix,$20.87M,19,Hiram,Ford
351,5/18/2022,Realbuzz,$5.54B,70,Benton,BMW
352,6/12/2022,Devpulse,$1.77B,42,Chevalier,Buick
353,4/26/2022,Livetube,$17.01M,63,Lazarus,Saturn
354,1/26/2022,Centidel,,39,Hastings,Lincoln
355,12/10/2021,Browsecat,$968.03M,71,Angelo,Plymouth
356,5/9/2022,Livetube,$177.28M,73,Darryl,Porsche
357,3/1/2022,Shufflebeat,$904.29M,95,Vaclav,GMC
358,1/20/2022,Twitterbeat,$27.68M,80,Enoch,BMW
359,6/9/2022,Dynabox,$73.3M,74,Georg,Cadillac
360,10/26/2021,Tambee,$415.04M,27,Alphonse,Mercedes-Benz
361,7/19/2021,Youspan,$226.45M,83,Archambault,Volkswagen
362,8/10/2021,Thoughtsphere,$171.9M,86,Hamnet,Land Rover
363,11/17/2021,Meeveo,$3.79B,8,Gardy,GMC
364,12/11/2021,Centimia,$18.42B,17,Bent,Toyota
365,1/28/2022,Yoveo,$743.07M,4,Henry,Mitsubishi
366,8/5/2021,Jaxspan,$3.4B,41,Ambrose,Eagle
367,12/10/2021,Youspan,$17.14B,9,Hilary,Nissan
368,7/17/2021,Voonyx,,61,Engelbert,Ford
369,4/30/2022,Yabox,$28.99M,80,Joey,Ford
370,6/18/2022,Eayo,$6.36B,92,Georg,Scion
371,10/11/2021,Realbridge,$1.76B,53,Kendricks,Mazda
372,11/19/2021,Flipstorm,$10.19B,57,Herschel,Acura
373,7/14/2021,Jetwire,,5,Constantine,Suzuki
374,10/12/2021,Dabjam,$4.11B,92,Eddy,Suzuki
375,2/20/2022,Nlounge,,51,Rockey,Saab
376,9/18/2021,Mymm,,12,Tully,Dodge
377,7/19/2021,Wikizz,$342.25M,72,Zackariah,Oldsmobile
378,6/29/2021,Centimia,,8,Burnard,Mazda
379,1/5/2022,Pixope,$19.4B,25,Meredith,Pontiac
380,8/6/2021,Edgetag,$13.17B,40,Harald,Porsche
381,5/17/2022,Linktype,$1.59B,13,Udale,Bentley
382,12/9/2021,Linktype,$83.27M,77,Cornell,Toyota
383,6/24/2021,Zazio,$788.23M,33,Tadio,GMC
384,5/10/2022,Skyble,$34.21M,91,Donn,Volkswagen
385,6/19/2022,Chatterpoint,$730.37M,89,Erasmus,Isuzu
386,11/10/2021,Linkbuzz,$980.54M,75,Nicolis,Lexus
387,11/21/2021,Zava,$633.57M,18,Chas,Dodge
388,2/15/2022,Yata,$2.5B,83,Keane,Hyundai
389,3/4/2022,Npath,$1.65B,91,Tallie,Lamborghini
390,12/7/2021,Kwimbee,$187.27B,12,Brennan,GMC
391,12/19/2021,Tagcat,,55,Sullivan,Mitsubishi
392,7/9/2021,Nlounge,,89,Menard,Mercedes-Benz
393,5/3/2022,Devify,$2.3B,22,Edgard,Jeep
394,4/30/2022,Feedmix,$79.8M,86,Hernando,Scion
395,2/3/2022,Jabbertype,$343.54M,53,Hallsy,Mercedes-Benz
396,3/3/2022,Jazzy,$112.52M,65,Ludovico,Pontiac
397,1/13/2022,Aimbu,$55.69B,16,Farlie,Ford
398,4/11/2022,Eimbee,,49,Evelin,Volkswagen
399,7/5/2021,Yadel,$21.96M,69,Emanuel,Chevrolet
400,7/16/2021,Mynte,$47.27B,35,Bertrando,Nissan
401,7/26/2021,Zoomcast,$7.84M,15,Eugene,Chrysler
402,5/6/2022,Ailane,,42,Worthy,Mercedes-Benz
403,11/3/2021,Photojam,$79.18M,41,Mychal,Mitsubishi
404,5/28/2022,Meevee,,25,Davin,BMW
405,3/10/2022,Voonder,$273.41M,64,Wyatt,Honda
406,8/24/2021,Blogpad,$1.93B,80,Ossie,Eagle
407,6/26/2021,Pixonyx,$842.05M,69,Thatch,Mitsubishi
408,5/14/2022,Realbuzz,$183.56M,65,Marshall,Lexus
409,8/26/2021,Realblab,,3,Gamaliel,Ford
410,12/22/2021,Eazzy,$6.59B,43,Clementius,Mercury
411,4/10/2022,Photolist,$21.4M,83,Tarrance,Nissan
412,6/22/2021,Vipe,$11.67B,33,Zacharie,GMC
413,6/6/2022,Cogilith,,3,Olin,Lexus
414,10/30/2021,Jatri,,36,Garv,GMC
415,4/30/2022,Twitterbridge,$64.56M,74,Burnaby,Chevrolet
416,1/4/2022,Thoughtsphere,$395.71M,82,Field,Ford
417,2/20/2022,Dabfeed,,13,Ben,Honda
418,5/5/2022,Jabbertype,$40.94M,62,Elston,Subaru
419,10/2/2021,Skinder,$1.41B,94,Vasili,Mitsubishi
420,12/15/2021,Photobug,$8.56B,29,Nat,Mitsubishi
421,7/1/2021,Yadel,$16.72B,100,Bent,BMW
422,6/29/2021,Blogtag,$173.59M,7,Bronnie,BMW
423,10/5/2021,Bluejam,$1.63B,15,Nataniel,Chevrolet
424,2/17/2022,Minyx,$7.81B,59,Jase,Land Rover
425,1/21/2022,Feedfire,$200.99M,94,Robinson,Mercedes-Benz
426,11/7/2021,Dynabox,$91.07M,70,Alexei,Dodge
427,2/28/2022,Feedmix,$234.26M,24,Onofredo,Chevrolet
428,3/11/2022,Browseblab,$161.78M,25,Lawton,Mercedes-Benz
429,4/20/2022,Dabjam,$78.45M,30,Pepito,Chrysler
