fecha,Sucursal,precio,cantidad,cliente,Vehiculo
2/10/2022,Wikido,$2.41B,33,Angus,BMW
10/4/2021,Browsecat,$2.6B,48,Torrey,Chevrolet
7/26/2021,Quaxo,$155.85M,47,Martainn,Kia
7/15/2021,Dynava,$448.07M,21,Zollie,Hyundai
12/25/2021,Tekfly,$1.97B,17,Jacobo,Isuzu
1/22/2022,Geba,$115.54M,70,Giselbert,Lincoln
2/5/2022,Blogpad,$496.43M,89,Titos,Lincoln
4/25/2022,Trilia,$1.47B,18,Georgy,Lexus
6/19/2022,Thoughtbeat,$357.95M,46,Pip,Ford
5/21/2022,Realmix,$9.79B,11,Alonzo,Cadillac
1/6/2022,Avavee,$741.39M,23,Eliot,GMC
6/19/2022,Omba,$39.32M,66,Jean,Ford
5/9/2022,Quatz,$361.92B,34,Urson,Ram
10/14/2021,Twinte,$41.27B,18,Jaime,BMW
11/14/2021,Jaloo,n/a,87,Jeffy,Lincoln
10/9/2021,Dazzlesphere,$551.95M,36,Alonso,Mazda
10/16/2021,Jayo,$567.1M,95,Benedetto,Oldsmobile
2/17/2022,Snaptags,$59.59M,56,Teddy,Toyota
11/14/2021,Tagopia,$362.28M,16,Quincy,Mercedes-Benz
7/21/2021,Mydeo,$23.91B,90,Micheil,Chevrolet
1/28/2022,Buzzdog,$647.69M,57,Vinnie,Lexus
5/15/2022,InnoZ,n/a,51,Rodge,Land Rover
8/4/2021,Einti,$14.33M,17,Darwin,Buick
1/19/2022,Cogibox,n/a,92,Jarrett,Pontiac
4/28/2022,Meejo,$21.4M,96,Riley,Bentley
6/16/2022,Feedfire,$33.04M,94,Jodie,Honda
8/22/2021,Gigabox,$395.82M,56,Riobard,Mitsubishi
10/25/2021,Yakitri,$136.26M,43,Kilian,Mazda
4/13/2022,Feedmix,$4.84B,19,Udall,Cadillac
1/4/2022,Twimbo,$12.16M,9,Rex,Dodge
8/21/2021,Voonte,n/a,27,Kenyon,Ford
11/5/2021,Topicblab,$135.82M,84,Florian,Suzuki
9/8/2021,Reallinks,$34.59M,48,Timmy,Ford
8/16/2021,Realpoint,n/a,52,Leland,Buick
11/23/2021,Kare,$2.59B,83,Murry,Toyota
7/6/2021,Thoughtsphere,$9.12B,12,Antone,BMW
1/2/2022,Gabtune,$751.86M,75,Rupert,GMC
7/5/2021,Flipstorm,$40.45M,94,Malvin,Ford
2/23/2022,Thoughtmix,$2.49B,62,Leon,Hillman
7/30/2021,Voonix,$303.87M,47,Laughton,Volvo
11/10/2021,Zoomlounge,$842.05M,10,Matias,Honda
8/10/2021,Browsezoom,$66.96M,97,Burt,Ford
7/13/2021,Yozio,n/a,66,Arnaldo,Mitsubishi
5/5/2022,Thoughtsphere,$1.84B,83,Timoteo,Lincoln
2/20/2022,Wikibox,n/a,62,Andy,GMC
11/11/2021,Trudoo,$24.88B,26,Bary,Ford
1/21/2022,Aimbo,$8.4M,64,Hardy,Ford
7/2/2021,Browsedrive,$14.89M,70,Emmanuel,Ford
6/15/2022,Yozio,n/a,80,Kristo,Honda
10/25/2021,Aivee,$83.39M,99,Travis,Mitsubishi
3/3/2022,Jaxspan,$737.25M,1,Brade,Pontiac
11/25/2021,Meembee,$64.48M,40,Rawley,Ford
6/2/2022,Snaptags,$14.45B,8,Gage,Mitsubishi
6/1/2022,Muxo,$534.86M,59,Fairleigh,Mazda
7/9/2021,Twinte,$562.64M,21,Ulick,Oldsmobile
9/25/2021,Eare,$1.26B,47,Ferdinand,GMC
9/9/2021,Cogilith,$4.57B,5,Beaufort,Lexus
1/26/2022,Vimbo,$123.47M,55,Torrance,Chevrolet
2/10/2022,Demizz,$1.81B,48,Von,Chevrolet
3/2/2022,Twinte,$2.6B,100,Lombard,Acura
9/22/2021,Eayo,$180.82M,69,Cosimo,Toyota
1/7/2022,Kimia,$33.7B,2,Bertie,Volkswagen
8/12/2021,Realmix,$172.9M,30,Samuele,Merkur
4/28/2022,Topicware,$18.6M,64,Montgomery,BMW
2/23/2022,Eamia,$14.07M,33,Farris,Oldsmobile
12/10/2021,Trunyx,$28.08M,44,Tucker,Dodge
10/28/2021,Flipopia,n/a,12,Jim,Volkswagen
3/21/2022,Kwinu,n/a,42,Parke,Mazda
2/8/2022,Realpoint,$3.68B,51,Isidro,Audi
10/31/2021,Yata,$339.02M,4,Keary,Dodge
5/12/2022,Kazio,$2.59B,45,Lalo,Ford
12/23/2021,Twitterlist,$262.86M,31,Ross,Kia
8/12/2021,Devpoint,n/a,18,Launce,Buick
12/7/2021,Kaymbo,$675.15M,69,Mickie,Dodge
4/17/2022,Realmix,$1.31B,21,Keefe,Volkswagen
11/15/2021,Yozio,$71.88M,39,Geoffrey,Toyota
6/12/2022,Wikizz,$677.94M,40,Decca,Mazda
2/20/2022,Yotz,$677.94M,84,Algernon,Chevrolet
11/8/2021,Lazz,$5.1B,99,Hilliard,Toyota
5/11/2022,Jaxworks,$13.26B,57,Vite,Bentley
11/11/2021,Camimbo,$68.41B,86,Shane,Mercedes-Benz
2/7/2022,Fadeo,n/a,52,Pauly,Toyota
9/9/2021,Skajo,n/a,1,Sheffield,Nissan
4/5/2022,Photofeed,$28.55M,68,Armando,Scion
1/22/2022,Twiyo,$2.83B,79,Brendon,BMW
8/5/2021,Fanoodle,$306.18B,19,Ara,Jeep
3/18/2022,Tagopia,$33.04M,95,Ax,Suzuki
5/3/2022,Bubblebox,n/a,6,Kirk,Pontiac
6/18/2022,Avavee,$152.04M,78,Bar,Chevrolet
2/1/2022,Zoomzone,$276.7M,32,Kirk,Lexus
4/28/2022,Avavee,$6.59B,62,Chester,Mercury
9/28/2021,Shuffledrive,n/a,7,Lester,GMC
8/28/2021,Mudo,$28.04M,82,Hercule,Toyota
9/24/2021,Flashset,$4.37B,94,Adair,GMC
6/18/2022,Quatz,n/a,4,Svend,Chevrolet
11/25/2021,Flashpoint,n/a,58,Siward,Dodge
4/25/2022,Brainsphere,$1.17B,16,Welsh,Kia
8/12/2021,Kimia,$77.63M,4,Reginauld,Buick
4/15/2022,Aimbu,$1.93B,25,Alley,Maserati
6/13/2022,Npath,$5.8B,30,Hillary,Ford
5/23/2022,Lazzy,n/a,32,Nicolai,Chevrolet
1/23/2022,Buzzster,n/a,85,Justis,Lamborghini
1/5/2022,Skynoodle,$745.32M,95,Simeon,Pontiac
10/18/2021,BlogXS,$4.4B,23,Lammond,Ford
1/18/2022,Oyoyo,$17.98B,18,Arthur,Mitsubishi
9/10/2021,Photobean,$253.22M,82,Angelo,Hyundai
3/13/2022,Tagchat,$14.07M,14,Carney,Saab
10/17/2021,Zoozzy,n/a,90,Allard,Buick
4/16/2022,Pixonyx,$1.48B,94,Harwilll,Infiniti
4/5/2022,Plajo,$8.39B,45,Rufe,Pontiac
1/25/2022,Innotype,$158.53M,49,Wyndham,Jaguar
12/13/2021,Zava,$73.14M,47,Harper,Volkswagen
8/8/2021,Brightbean,$36.8M,79,Aldridge,Volvo
2/12/2022,Dabtype,$26.47B,46,Agustin,Chevrolet
3/3/2022,Yata,$1.8B,46,Chick,Ford
1/17/2022,Photolist,$17.7B,95,Harbert,Lotus
12/10/2021,Jabbersphere,$1.6B,75,Franklin,Dodge
11/22/2021,Voolia,$703.44M,97,Haywood,Dodge
12/11/2021,Flipstorm,$60.75M,61,Kliment,Land Rover
10/23/2021,Youbridge,$69.92M,94,Archibold,Geo
7/18/2021,Linklinks,$146.29M,8,Daren,BMW
10/21/2021,Dabtype,$524.24M,23,Bordy,Suzuki
9/7/2021,Aimbu,$316.71M,43,Benton,Nissan
12/3/2021,Vitz,$296.92M,79,Aldus,Volkswagen
5/13/2022,Fanoodle,$1.67B,27,Derk,Audi
4/5/2022,Jaxnation,n/a,39,Kenneth,Saab
4/2/2022,Thoughtbridge,$10.83B,69,Waldo,Porsche
2/6/2022,Lajo,$36.89M,71,Rustin,Chevrolet
7/14/2021,Gigashots,$54.9M,67,Trip,Pontiac
2/25/2022,Flashpoint,$244.93M,77,Alastair,Chevrolet
10/3/2021,Teklist,n/a,28,Nathaniel,Chrysler
6/1/2022,Yabox,$25.18B,77,Sterling,Mercedes-Benz
4/27/2022,Devshare,$380.14M,34,Eldon,GMC
10/9/2021,Eidel,$2.35B,27,Judd,Lincoln
7/30/2021,Teklist,$14.36M,56,Barris,BMW
12/7/2021,Meetz,$12.31M,56,Javier,Isuzu
12/18/2021,Dabfeed,$10.72B,15,Reinaldos,Honda
2/16/2022,Skipfire,$454.72M,100,Berton,Ford
4/10/2022,Rhyloo,$1.01B,13,Giuseppe,Volvo
5/4/2022,Ntags,$1.38B,56,Faulkner,Maserati
8/27/2021,Skidoo,$390.56M,38,Edsel,Toyota
12/19/2021,Yakidoo,$555.08M,44,Tucky,Ford
2/9/2022,Browsebug,$187.49M,39,Harbert,Lamborghini
3/20/2022,Livetube,$223.07M,25,Farlay,Kia
3/18/2022,Camido,$196.76B,15,Kahaleel,Chrysler
4/26/2022,Kwinu,$350.52M,33,Maxy,Ford
6/28/2021,Yadel,$2.28B,100,Cletis,GMC
7/28/2021,Flashpoint,$69.91M,99,Olav,Chevrolet
5/6/2022,Skinder,n/a,25,Bran,Toyota
8/7/2021,Jabbersphere,$3.96B,21,Richie,Chevrolet
12/31/2021,Mynte,n/a,11,Clemmy,Chrysler
10/14/2021,Pixope,$157.5M,1,Zach,Bentley
3/6/2022,Yodel,$807.59M,32,Ripley,Kia
10/21/2021,Flipopia,$2.63B,46,Derk,Pontiac
7/26/2021,Ntag,$4.24B,91,Malcolm,Lincoln
11/29/2021,Mudo,$58.47M,97,Vincent,BMW
4/23/2022,Shuffledrive,$3.34B,37,Britt,Chevrolet
6/7/2022,Janyx,$1.82B,63,Georgi,Chevrolet
8/11/2021,Teklist,$25.59B,26,Westley,Chevrolet
7/20/2021,Quinu,$402.04M,24,Lammond,Suzuki
8/20/2021,Myworks,$414.73M,27,Brendan,Mazda
11/17/2021,Eire,$3.82B,36,Etan,Hyundai
2/10/2022,Realbuzz,$1.49B,71,Sheffield,BMW
6/2/2022,Dablist,$1B,80,Balduin,Porsche
3/8/2022,Livetube,$2.17B,84,Craggie,Kia
5/5/2022,Gigaclub,$19.65M,69,Rafferty,Suzuki
9/16/2021,Browsetype,$5B,52,Broddie,Audi
6/15/2022,Zoomlounge,$23.38B,58,Thorvald,Volkswagen
2/12/2022,Eidel,n/a,37,Knox,Hyundai
7/25/2021,Mudo,n/a,76,Tommie,Ferrari
9/17/2021,Brightdog,$19.68B,70,Philip,Oldsmobile
12/5/2021,Riffpath,$7.87B,59,Cordy,Chevrolet
4/28/2022,Abata,$152.41M,30,Demott,BMW
9/11/2021,Edgeify,n/a,40,William,Chrysler
8/27/2021,Avaveo,$64.02M,67,Elwood,Ford
7/26/2021,Eazzy,$454M,84,Hirsch,Buick
9/22/2021,Photojam,n/a,100,Nicola,Hyundai
4/23/2022,Linktype,$715.78M,92,Alric,Chrysler
10/21/2021,Dabfeed,$542.39M,80,Pall,Saturn
11/5/2021,Browsedrive,n/a,45,Vladamir,Buick
4/21/2022,Blogpad,n/a,16,Arni,Lexus
2/22/2022,Gigabox,$6.77B,40,Kippar,Porsche
6/20/2022,Quire,$636.41M,100,Pancho,Mercedes-Benz
4/12/2022,Tagpad,$4.72B,9,Boris,GMC
4/4/2022,Dynabox,$2.11B,28,Hayden,Acura
5/6/2022,Centizu,$380.1M,93,Orlando,Honda
1/12/2022,Tagopia,$44.68B,69,Brigg,Kia
9/23/2021,Kwilith,$8.53B,33,Quill,Mazda
3/13/2022,Oyonder,$200.59M,32,Ahmed,Chevrolet
3/31/2022,Blogtags,$32.02B,5,Brodie,Volkswagen
4/20/2022,Linkbridge,n/a,27,Olivero,Mazda
9/9/2021,Camimbo,$404.02M,72,Ulric,Cadillac
2/7/2022,Thoughtblab,$975.44M,76,Christie,Ford
9/29/2021,Twimm,$79.68M,51,Norman,Mazda
10/31/2021,Aimbo,$745.32M,1,Errick,Dodge
1/23/2022,Yakidoo,$39.27B,98,Odie,Dodge
11/5/2021,Dabjam,n/a,42,Kristian,GMC
2/8/2022,Leexo,$2.05B,17,Sid,Chevrolet
7/2/2021,Gigaclub,$79.27M,85,Mar,Jeep
11/16/2021,Tekfly,n/a,13,Umberto,Suzuki
6/14/2022,Gigaclub,$7.6B,46,Gerick,GMC
8/30/2021,Jayo,n/a,82,Buck,Audi
8/29/2021,Quatz,$367.06M,50,Vinnie,Mercedes-Benz
5/1/2022,Meetz,$383.96M,12,Gunter,Mercedes-Benz
2/16/2022,Oyonder,$334.83M,80,Richmond,Ford
6/13/2022,Thoughtblab,$187.53M,39,Ulric,Hyundai
2/17/2022,Kwideo,n/a,100,Frederick,Toyota
12/31/2021,Twinder,$79.32M,94,Gasparo,Mazda
8/11/2021,Wikivu,n/a,49,Wang,Toyota
11/14/2021,Jayo,$41.59M,99,Burnard,GMC
5/15/2022,Shufflester,$60.98M,48,Torin,Lexus
6/28/2021,Eidel,$1.2B,89,Mike,Eagle
9/22/2021,Shufflester,$38B,32,Mata,Kia
8/19/2021,Thoughtmix,$20.87M,19,Hiram,Ford
5/18/2022,Realbuzz,$5.54B,70,Benton,BMW
6/12/2022,Devpulse,$1.77B,42,Chevalier,Buick
4/26/2022,Livetube,$17.01M,63,Lazarus,Saturn
1/26/2022,Centidel,n/a,39,Hastings,Lincoln
12/10/2021,Browsecat,$968.03M,71,Angelo,Plymouth
5/9/2022,Livetube,$177.28M,73,Darryl,Porsche
3/1/2022,Shufflebeat,$904.29M,95,Vaclav,GMC
1/20/2022,Twitterbeat,$27.68M,80,Enoch,BMW
6/9/2022,Dynabox,$73.3M,74,Georg,Cadillac
10/26/2021,Tambee,$415.04M,27,Alphonse,Mercedes-Benz
7/19/2021,Youspan,$226.45M,83,Archambault,Volkswagen
8/10/2021,Thoughtsphere,$171.9M,86,Hamnet,Land Rover
11/17/2021,Meeveo,$3.79B,8,Gardy,GMC
12/11/2021,Centimia,$18.42B,17,Bent,Toyota
1/28/2022,Yoveo,$743.07M,4,Henry,Mitsubishi
8/5/2021,Jaxspan,$3.4B,41,Ambrose,Eagle
12/10/2021,Youspan,$17.14B,9,Hilary,Nissan
7/17/2021,Voonyx,n/a,61,Engelbert,Ford
4/30/2022,Yabox,$28.99M,80,Joey,Ford
6/18/2022,Eayo,$6.36B,92,Georg,Scion
10/11/2021,Realbridge,$1.76B,53,Kendricks,Mazda
11/19/2021,Flipstorm,$10.19B,57,Herschel,Acura
7/14/2021,Jetwire,n/a,5,Constantine,Suzuki
10/12/2021,Dabjam,$4.11B,92,Eddy,Suzuki
2/20/2022,Nlounge,n/a,51,Rockey,Saab
9/18/2021,Mymm,n/a,12,Tully,Dodge
7/19/2021,Wikizz,$342.25M,72,Zackariah,Oldsmobile
6/29/2021,Centimia,n/a,8,Burnard,Mazda
1/5/2022,Pixope,$19.4B,25,Meredith,Pontiac
8/6/2021,Edgetag,$13.17B,40,Harald,Porsche
5/17/2022,Linktype,$1.59B,13,Udale,Bentley
12/9/2021,Linktype,$83.27M,77,Cornell,Toyota
6/24/2021,Zazio,$788.23M,33,Tadio,GMC
5/10/2022,Skyble,$34.21M,91,Donn,Volkswagen
6/19/2022,Chatterpoint,$730.37M,89,Erasmus,Isuzu
11/10/2021,Linkbuzz,$980.54M,75,Nicolis,Lexus
11/21/2021,Zava,$633.57M,18,Chas,Dodge
2/15/2022,Yata,$2.5B,83,Keane,Hyundai
3/4/2022,Npath,$1.65B,91,Tallie,Lamborghini
12/7/2021,Kwimbee,$187.27B,12,Brennan,GMC
12/19/2021,Tagcat,n/a,55,Sullivan,Mitsubishi
7/9/2021,Nlounge,n/a,89,Menard,Mercedes-Benz
5/3/2022,Devify,$2.3B,22,Edgard,Jeep
4/30/2022,Feedmix,$79.8M,86,Hernando,Scion
2/3/2022,Jabbertype,$343.54M,53,Hallsy,Mercedes-Benz
3/3/2022,Jazzy,$112.52M,65,Ludovico,Pontiac
1/13/2022,Aimbu,$55.69B,16,Farlie,Ford
4/11/2022,Eimbee,n/a,49,Evelin,Volkswagen
7/5/2021,Yadel,$21.96M,69,Emanuel,Chevrolet
7/16/2021,Mynte,$47.27B,35,Bertrando,Nissan
7/26/2021,Zoomcast,$7.84M,15,Eugene,Chrysler
5/6/2022,Ailane,n/a,42,Worthy,Mercedes-Benz
11/3/2021,Photojam,$79.18M,41,Mychal,Mitsubishi
5/28/2022,Meevee,n/a,25,Davin,BMW
3/10/2022,Voonder,$273.41M,64,Wyatt,Honda
8/24/2021,Blogpad,$1.93B,80,Ossie,Eagle
6/26/2021,Pixonyx,$842.05M,69,Thatch,Mitsubishi
5/14/2022,Realbuzz,$183.56M,65,Marshall,Lexus
8/26/2021,Realblab,n/a,3,Gamaliel,Ford
12/22/2021,Eazzy,$6.59B,43,Clementius,Mercury
4/10/2022,Photolist,$21.4M,83,Tarrance,Nissan
6/22/2021,Vipe,$11.67B,33,Zacharie,GMC
6/6/2022,Cogilith,n/a,3,Olin,Lexus
10/30/2021,Jatri,n/a,36,Garv,GMC
4/30/2022,Twitterbridge,$64.56M,74,Burnaby,Chevrolet
1/4/2022,Thoughtsphere,$395.71M,82,Field,Ford
2/20/2022,Dabfeed,n/a,13,Ben,Honda
5/5/2022,Jabbertype,$40.94M,62,Elston,Subaru
10/2/2021,Skinder,$1.41B,94,Vasili,Mitsubishi
12/15/2021,Photobug,$8.56B,29,Nat,Mitsubishi
7/1/2021,Yadel,$16.72B,100,Bent,BMW
6/29/2021,Blogtag,$173.59M,7,Bronnie,BMW
10/5/2021,Bluejam,$1.63B,15,Nataniel,Chevrolet
2/17/2022,Minyx,$7.81B,59,Jase,Land Rover
1/21/2022,Feedfire,$200.99M,94,Robinson,Mercedes-Benz
11/7/2021,Dynabox,$91.07M,70,Alexei,Dodge
2/28/2022,Feedmix,$234.26M,24,Onofredo,Chevrolet
3/11/2022,Browseblab,$161.78M,25,Lawton,Mercedes-Benz
4/20/2022,Dabjam,$78.45M,30,Pepito,Chrysler
6/10/2022,Jatri,$695.78M,90,Rollie,Chevrolet
11/26/2021,Jabbercube,$568.57M,5,Grace,Mercury
9/7/2021,Edgeify,$6.88B,31,Falkner,Mazda
8/10/2021,Meevee,$73.17M,99,Hanson,Mercury
10/9/2021,Buzzshare,$17.1B,9,Norton,Chevrolet
8/24/2021,Geba,$73.43M,75,Thadeus,Chrysler
6/9/2022,Tambee,$862.98M,72,Tomaso,Mercedes-Benz
1/9/2022,Oyoba,$17.98B,60,Gunner,Chevrolet
2/25/2022,Buzzshare,$1.56B,46,Guillermo,Chevrolet
4/7/2022,Tazzy,$1.96B,78,Morry,Infiniti
12/4/2021,Riffpedia,$2.71B,22,Valle,Hyundai
6/19/2022,Demizz,$29.24M,82,Yancy,Volkswagen
4/22/2022,Quinu,$8.89B,91,Jacob,Toyota
1/14/2022,Quamba,$1.16B,24,Mark,Ford
7/20/2021,Dynabox,$2.41B,33,Herc,Mazda
6/8/2022,Zoomzone,$2.5B,35,Emmet,Mitsubishi
8/8/2021,Jabbercube,$864.5M,78,Sawyere,Buick
8/25/2021,Thoughtworks,$64.41M,21,Felizio,Hyundai
9/10/2021,Fivechat,$51.95B,68,Shalom,Isuzu
1/1/2022,Gigashots,$2.68B,59,Norby,Pontiac
